"","X","Date","Visitor","Visitor.Score","Home.Team","Home.Score","Line","Win","Delta"
"1",98,1978-09-16,"Northwestern",3,"Iowa",20,14,1,17
"2",151,1978-09-23,"Iowa State",31,"Iowa",0,-2.5,0,-31
"3",333,1978-10-07,"Utah",13,"Iowa",9,NA,0,-4
"4",529,1978-10-28,"Purdue",34,"Iowa",7,-10.5,0,-27
"5",579,1978-11-04,"Michigan",34,"Iowa",0,-27,0,-34
"6",746,1978-11-18,"Wisconsin",24,"Iowa",38,-4,1,14
"7",827,1979-09-08,"Indiana",30,"Iowa",26,-2.5,0,-4
"8",973,1979-09-22,"Nebraska",24,"Iowa",21,-18,0,-3
"9",1026,1979-09-29,"Iowa State",14,"Iowa",30,-5.5,1,16
"10",1256,1979-10-20,"Minnesota",24,"Iowa",7,2.5,0,-17
"11",1408,1979-11-03,"Purdue",20,"Iowa",14,-6,0,-6
"12",1532,1979-11-17,"Michigan State",23,"Iowa",33,-1,1,10
"13",1810,1980-09-27,"Iowa State",10,"Iowa",7,4,0,-3
"14",1865,1980-10-04,"Arizona",5,"Iowa",3,6,0,-2
"15",1947,1980-10-11,"Illinois",20,"Iowa",14,8,0,-6
"16",2039,1980-10-18,"Northwestern",3,"Iowa",25,27,1,22
"17",2196,1980-11-01,"Wisconsin",13,"Iowa",22,4,1,9
"18",2305,1980-11-15,"Ohio State",41,"Iowa",7,-22,0,-34
"19",2483,1981-09-12,"Nebraska",7,"Iowa",10,-16,1,3
"20",2642,1981-09-26,"U.C.L.A.",7,"Iowa",20,-10,1,13
"21",2741,1981-10-10,"Indiana",28,"Iowa",42,13.5,1,14
"22",2881,1981-10-24,"Minnesota",12,"Iowa",10,12,0,-2
"23",3031,1981-11-07,"Purdue",7,"Iowa",33,3,1,26
"24",3142,1981-11-21,"Michigan State",7,"Iowa",36,7,1,29
"25",3305,1982-09-18,"Iowa State",19,"Iowa",7,-1,0,-12
"26",3437,1982-10-02,"Northwestern",7,"Iowa",45,24,1,38
"27",3541,1982-10-16,"Michigan",29,"Iowa",7,-7,0,-22
"28",3645,1982-10-30,"Illinois",13,"Iowa",14,-2,1,1
"29",3796,1982-11-13,"Wisconsin",14,"Iowa",28,3,1,14
"30",4062,1983-09-24,"Ohio State",14,"Iowa",20,-3,1,6
"31",4179,1983-10-08,"Northwestern",21,"Iowa",61,34,1,40
"32",4240,1983-10-15,"Purdue",14,"Iowa",31,17.5,1,17
"33",4328,1983-10-29,"Indiana",3,"Iowa",49,23,1,46
"34",4502,1983-11-19,"Minnesota",10,"Iowa",61,34,1,51
"35",4592,1984-09-08,"Iowa State",21,"Iowa",59,24,1,38
"36",4663,1984-09-15,"Penn State",20,"Iowa",17,7,0,-3
"37",4758,1984-09-29,"Illinois",16,"Iowa",21,5,1,5
"38",4932,1984-10-20,"Michigan",0,"Iowa",26,8,1,26
"39",5069,1984-11-03,"Wisconsin",10,"Iowa",10,12.5,0,0
"40",5090,1984-11-10,"Michigan State",17,"Iowa",16,12,0,-1
"41",5274,1985-09-14,"Drake",0,"Iowa",58,NA,1,58
"42",5351,1985-09-21,"Northern Illinois",20,"Iowa",48,NA,1,28
"43",5452,1985-10-05,"Michigan State",31,"Iowa",35,16,1,4
"44",5558,1985-10-19,"Michigan",10,"Iowa",12,-3,1,2
"45",5715,1985-11-09,"Illinois",0,"Iowa",59,7,1,59
"46",5822,1985-11-23,"Minnesota",9,"Iowa",31,18,1,22
"47",5927,1986-09-13,"Iowa State",7,"Iowa",43,16.5,1,36
"48",5998,1986-09-20,"Northern Illinois",3,"Iowa",57,NA,1,54
"49",6063,1986-09-27,"UTEP",7,"Iowa",69,32,1,62
"50",6172,1986-10-11,"Wisconsin",6,"Iowa",17,24,1,11
"51",6255,1986-10-25,"Northwestern",20,"Iowa",27,32,1,7
"52",6301,1986-11-01,"Ohio State",31,"Iowa",10,3.5,0,-21
"53",6405,1986-11-15,"Purdue",14,"Iowa",42,24.5,1,28
"54",6648,1987-09-26,"Kansas State",13,"Iowa",38,42,1,25
"55",6699,1987-10-03,"Michigan State",19,"Iowa",14,9.8,0,-5
"56",6867,1987-10-24,"Purdue",14,"Iowa",38,17,1,24
"57",6894,1987-10-31,"Indiana",21,"Iowa",29,6.5,1,8
"58",7055,1987-11-21,"Minnesota",20,"Iowa",34,15.5,1,14
"59",7203,1988-09-17,"Colorado",24,"Iowa",21,5.5,0,-3
"60",7256,1988-09-24,"Iowa State",3,"Iowa",10,24,1,7
"61",7394,1988-10-08,"Wisconsin",6,"Iowa",31,22,1,25
"62",7423,1988-10-15,"Michigan",17,"Iowa",17,-6.5,0,0
"63",7574,1988-11-05,"Northwestern",10,"Iowa",35,29,1,25
"64",7624,1988-11-12,"Ohio State",24,"Iowa",24,10.5,0,0
"65",7829,1989-09-16,"Oregon",44,"Iowa",6,3,0,-38
"66",7939,1989-09-30,"Tulsa",22,"Iowa",30,9,1,8
"67",7964,1989-10-07,"Michigan State",17,"Iowa",14,-5,0,-3
"68",8065,1989-10-21,"Michigan",26,"Iowa",12,-11,0,-14
"69",8163,1989-11-04,"Illinois",31,"Iowa",7,-4,0,-24
"70",8309,1989-11-25,"Minnesota",43,"Iowa",7,10.5,0,-36
"71",8424,1990-09-15,"Cincinnati",10,"Iowa",63,37,1,53
"72",8484,1990-09-22,"Iowa State",35,"Iowa",45,14,1,10
"73",8671,1990-10-13,"Wisconsin",10,"Iowa",30,19,1,20
"74",8754,1990-10-27,"Northwestern",14,"Iowa",56,23.5,1,42
"75",8853,1990-11-10,"Ohio State",27,"Iowa",26,5.5,0,-1
"76",8913,1990-11-17,"Purdue",9,"Iowa",38,26,1,29
"77",8998,1991-09-07,"Hawaii",10,"Iowa",53,15,1,43
"78",9161,1991-09-28,"Northern Illinois",7,"Iowa",58,NA,1,51
"79",9204,1991-10-05,"Michigan",43,"Iowa",24,0,0,-19
"80",9293,1991-10-19,"Illinois",21,"Iowa",24,6,1,3
"81",9447,1991-11-09,"Indiana",21,"Iowa",38,5,1,17
"82",9545,1991-11-23,"Minnesota",8,"Iowa",23,26,1,15
"83",9647,1992-09-12,"Iowa State",7,"Iowa",21,16,1,14
"84",9869,1992-10-10,"Wisconsin",22,"Iowa",23,9,1,1
"85",9953,1992-10-24,"Purdue",27,"Iowa",16,12.5,0,-11
"86",9996,1992-10-31,"Ohio State",38,"Iowa",15,-3,0,-23
"87",10086,1992-11-14,"Northwestern",14,"Iowa",56,14,1,42
"88",10209,1993-09-04,"Tulsa",25,"Iowa",26,11.5,1,1
"89",10304,1993-09-18,"Penn State",31,"Iowa",0,-5,0,-31
"90",10473,1993-10-16,"Illinois",49,"Iowa",3,1,0,-46
"91",10580,1993-10-30,"Purdue",17,"Iowa",26,6,1,9
"92",10621,1993-11-06,"Northern Illinois",20,"Iowa",54,NA,1,34
"93",10708,1993-11-20,"Minnesota",3,"Iowa",21,6.5,1,18
"94",10769,1994-09-03,"Central Michigan",21,"Iowa",52,NA,1,31
"95",10824,1994-09-10,"Iowa State",9,"Iowa",37,10.5,1,28
"96",10979,1994-10-01,"Michigan",29,"Iowa",14,-18.5,0,-15
"97",11022,1994-10-08,"Indiana",27,"Iowa",20,3.5,0,-7
"98",11122,1994-10-22,"Michigan State",14,"Iowa",19,-11,1,5
"99",11279,1994-11-12,"Northwestern",13,"Iowa",49,5.5,1,36
"100",11455,1995-09-09,"Northern Iowa",13,"Iowa",34,NA,1,21
"101",11607,1995-09-30,"New Mexico State",21,"Iowa",59,NA,1,38
"102",11692,1995-10-14,"Indiana",13,"Iowa",22,13,1,9
"103",11753,1995-10-21,"Penn State",41,"Iowa",27,-4.5,0,-14
"104",11840,1995-11-04,"Illinois",26,"Iowa",7,4,0,-19
"105",11996,1995-11-25,"Minnesota",3,"Iowa",45,10,1,42
"106",12059,1996-09-07,"Arizona",20,"Iowa",21,6.5,1,1
"107",12128,1996-09-14,"Iowa State",13,"Iowa",38,17.5,1,25
"108",12271,1996-10-05,"Michigan State",30,"Iowa",37,8,1,7
"109",12423,1996-10-26,"Ohio State",38,"Iowa",26,-14.5,0,-12
"110",12532,1996-11-09,"Northwestern",40,"Iowa",13,6,0,-27
"111",12583,1996-11-16,"Wisconsin",0,"Iowa",31,2.5,1,31
"112",12709,1997-09-06,"Northern Iowa",0,"Iowa",66,NA,1,66
"113",12764,1997-09-13,"Tulsa",16,"Iowa",54,22,1,38
"114",12858,1997-09-27,"Illinois",10,"Iowa",38,28,1,28
"115",13064,1997-10-25,"Indiana",0,"Iowa",62,28,1,62
"116",13129,1997-11-01,"Purdue",17,"Iowa",35,11,1,18
"117",13274,1997-11-22,"Minnesota",0,"Iowa",31,20,1,31
"118",13327,1998-09-05,"Central Michigan",0,"Iowa",38,34,1,38
"119",13386,1998-09-12,"Iowa State",27,"Iowa",9,28,0,-18
"120",13548,1998-10-03,"Michigan",12,"Iowa",9,-9,0,-3
"121",13598,1998-10-10,"Northwestern",24,"Iowa",26,10,1,2
"122",13703,1998-10-24,"Wisconsin",31,"Iowa",0,-6.5,0,-31
"123",13861,1998-11-14,"Ohio State",45,"Iowa",14,-25,0,-31
"124",13975,1999-09-04,"Nebraska",42,"Iowa",7,-23.5,0,-35
"125",14111,1999-09-18,"Northern Illinois",0,"Iowa",24,14.5,1,24
"126",14262,1999-10-09,"Penn State",31,"Iowa",7,-28,0,-24
"127",14361,1999-10-23,"Indiana",38,"Iowa",31,-2.5,0,-7
"128",14464,1999-11-06,"Illinois",40,"Iowa",24,-6.5,0,-16
"129",14554,1999-11-20,"Minnesota",25,"Iowa",21,-20,0,-4
"130",14719,2000-09-09,"Western Michigan",27,"Iowa",21,7.5,0,-6
"131",14749,2000-09-16,"Iowa State",24,"Iowa",14,-2.5,0,-10
"132",14914,2000-10-07,"Michigan State",16,"Iowa",21,-9.5,1,5
"133",15032,2000-10-21,"Ohio State",38,"Iowa",10,-18,0,-28
"134",15067,2000-10-28,"Wisconsin",13,"Iowa",7,-16,0,-6
"135",15164,2000-11-11,"Northwestern",17,"Iowa",27,-12.5,1,10
"136",15321,2001-09-01,"Kent State",0,"Iowa",51,27,1,51
"137",15370,2001-09-08,"Miami-Ohio",19,"Iowa",44,14,1,25
"138",15487,2001-09-29,"Penn State",18,"Iowa",24,10,1,6
"139",15658,2001-10-20,"Indiana",28,"Iowa",42,9.5,1,14
"140",15700,2001-10-27,"Michigan",32,"Iowa",26,-6,0,-6
"141",15859,2001-11-17,"Minnesota",24,"Iowa",42,12,1,18
"142",15999,2002-08-31,"Akron",21,"Iowa",57,21,1,36
"143",16131,2002-09-14,"Iowa State",36,"Iowa",31,2,0,-5
"144",16185,2002-09-21,"Utah State",7,"Iowa",48,21.5,1,41
"145",16281,2002-10-05,"Purdue",28,"Iowa",31,8.5,1,3
"146",16332,2002-10-12,"Michigan State",16,"Iowa",44,4.5,1,28
"147",16494,2002-11-02,"Wisconsin",3,"Iowa",20,9.5,1,17
"148",16540,2002-11-09,"Northwestern",10,"Iowa",62,29.5,1,52
"149",16741,2003-08-30,"Miami-Ohio",3,"Iowa",21,9,1,18
"150",16792,2003-09-06,"Buffalo",7,"Iowa",56,34,1,49
"151",16956,2003-09-20,"Arizona State",2,"Iowa",21,6,1,19
"152",17036,2003-10-04,"Michigan",27,"Iowa",30,-3.5,1,3
"153",17189,2003-10-25,"Penn State",14,"Iowa",26,10.5,1,12
"154",17233,2003-11-01,"Illinois",10,"Iowa",41,27,1,31
"155",17334,2003-11-15,"Minnesota",22,"Iowa",40,5.5,1,18
"156",17479,2004-09-04,"Kent State",7,"Iowa",39,31,1,32
"157",17537,2004-09-11,"Iowa State",10,"Iowa",17,25,1,7
"158",17704,2004-10-02,"Michigan State",16,"Iowa",38,7.5,1,22
"159",17810,2004-10-16,"Ohio State",7,"Iowa",33,2,1,26
"160",17970,2004-11-06,"Purdue",21,"Iowa",23,2,1,2
"161",18076,2004-11-20,"Wisconsin",7,"Iowa",30,3,1,23
"162",18171,2005-09-03,"Ball State",0,"Iowa",56,38.5,1,56
"163",18323,2005-09-17,"Northern Iowa",21,"Iowa",45,NA,1,24
"164",18384,2005-10-01,"Illinois",7,"Iowa",35,18,1,28
"165",18500,2005-10-15,"Indiana",21,"Iowa",38,16,1,17
"166",18549,2005-10-22,"Michigan",23,"Iowa",20,2.5,0,-3
"167",18757,2005-11-19,"Minnesota",28,"Iowa",52,4,1,24
"168",18902,2006-09-02,"Montana",7,"Iowa",41,NA,1,34
"169",18985,2006-09-16,"Iowa State",17,"Iowa",27,13,1,10
"170",19138,2006-09-30,"Ohio State",38,"Iowa",17,-7,0,-21
"171",19163,2006-10-07,"Purdue",17,"Iowa",47,10,1,30
"172",19326,2006-10-28,"Northern Illinois",14,"Iowa",24,14.5,1,10
"173",19382,2006-11-04,"Northwestern",21,"Iowa",7,20.5,0,-14
"174",19443,2006-11-11,"Wisconsin",24,"Iowa",21,-1,0,-3
"175",19713,2007-09-08,"Syracuse",0,"Iowa",35,24,1,35
"176",19870,2007-09-29,"Indiana",38,"Iowa",20,10,0,-18
"177",20005,2007-10-13,"Illinois",6,"Iowa",10,-4,1,4
"178",20118,2007-10-27,"Michigan State",27,"Iowa",34,-3,1,7
"179",20226,2007-11-10,"Minnesota",16,"Iowa",21,14.5,1,5
"180",20259,2007-11-17,"Western Michigan",28,"Iowa",19,14,0,-9
"181",20420,2008-08-30,"Maine",3,"Iowa",46,NA,1,43
"182",20483,2008-09-06,"Florida Intl",0,"Iowa",42,27,1,42
"183",20531,2008-09-13,"Iowa State",5,"Iowa",17,13.5,1,12
"184",20630,2008-09-27,"Northwestern",22,"Iowa",17,-8.5,0,-5
"185",20790,2008-10-18,"Wisconsin",16,"Iowa",38,5,1,22
"186",20961,2008-11-08,"Penn State",23,"Iowa",24,-8,1,1
"187",20994,2008-11-15,"Purdue",17,"Iowa",22,17,1,5
"188",21197,2009-09-05,"Northern Iowa",16,"Iowa",17,NA,1,1
"189",21295,2009-09-19,"Arizona",17,"Iowa",27,4,1,10
"190",21454,2009-10-03,"Arkansas State",21,"Iowa",24,21,1,3
"191",21501,2009-10-10,"Michigan",28,"Iowa",30,8,1,2
"192",21633,2009-10-31,"Indiana",24,"Iowa",42,17.5,1,18
"193",21688,2009-11-07,"Northwestern",17,"Iowa",10,14,0,-7
"194",21806,2009-11-21,"Minnesota",0,"Iowa",12,12.5,1,12
"195",21965,2010-09-04,"Eastern Illinois",7,"Iowa",37,NA,1,30
"196",22007,2010-09-11,"Iowa State",7,"Iowa",35,13.5,1,28
"197",22127,2010-09-25,"Ball State",0,"Iowa",45,28,1,45
"198",22217,2010-10-02,"Penn State",3,"Iowa",24,7.5,1,21
"199",22352,2010-10-23,"Wisconsin",31,"Iowa",30,6.5,0,-1
"200",22401,2010-10-30,"Michigan State",6,"Iowa",37,6.5,1,31
"201",22576,2010-11-20,"Ohio State",20,"Iowa",17,-3,0,-3
"202",22735,2011-09-03,"Tennessee Tech",7,"Iowa",34,NA,1,27
"203",22837,2011-09-17,"Pittsburgh",27,"Iowa",31,3,1,4
"204",22939,2011-09-24,"UL-Monroe",17,"Iowa",45,17,1,28
"205",23106,2011-10-15,"Northwestern",31,"Iowa",41,6,1,10
"206",23118,2011-10-22,"Indiana",24,"Iowa",45,23,1,21
"207",23243,2011-11-05,"Michigan",16,"Iowa",24,-4,1,8
"208",23303,2011-11-12,"Michigan State",37,"Iowa",21,-3,0,-16
"209",23564,2012-09-08,"Iowa State",9,"Iowa",6,3.5,0,-3
"210",23670,2012-09-15,"Northern Iowa",16,"Iowa",27,NA,1,11
"211",23691,2012-09-22,"Central Michigan",32,"Iowa",31,14.5,0,-1
"212",23747,2012-09-29,"Minnesota",13,"Iowa",31,6,1,18
"213",23953,2012-10-20,"Penn State",38,"Iowa",14,1,0,-24
"214",24089,2012-11-10,"Purdue",27,"Iowa",24,5,0,-3
"215",24196,2012-11-23,"Nebraska",13,"Iowa",7,-15,0,-6
"216",24301,2013-08-31,"Northern Illinois",30,"Iowa",27,3,0,-3
"217",24393,2013-09-07,"Missouri State",14,"Iowa",28,NA,1,14
"218",24485,2013-09-21,"Western Michigan",3,"Iowa",59,16,1,56
"219",24593,2013-10-05,"Michigan State",26,"Iowa",14,2,0,-12
"220",24774,2013-10-26,"Northwestern",10,"Iowa",17,3.5,1,7
"221",24824,2013-11-02,"Wisconsin",28,"Iowa",9,-9,0,-19
"222",24980,2013-11-23,"Michigan",21,"Iowa",24,5.5,1,3
"223",25161,2014-08-30,"Northern Iowa",23,"Iowa",31,NA,1,8
"224",25174,2014-09-06,"Ball State",13,"Iowa",17,17.5,1,4
"225",25259,2014-09-13,"Iowa State",NA,"Iowa",NA,13.5,0,NA
"226",25485,2014-10-11,"Indiana",NA,"Iowa",NA,NA,0,NA
"227",25639,2014-11-01,"Northwestern",NA,"Iowa",NA,NA,0,NA
"228",25791,2014-11-22,"Wisconsin",NA,"Iowa",NA,NA,0,NA
"229",25856,2014-11-29,"Nebraska",NA,"Iowa",NA,NA,0,NA
